teryt_powiat,powiat,rok,typ,miara,populacja,zrodlo_var_id,zrodlo_url,pobrano
011212402000,Powiat brzeski,2017,historyczny,wiek_poprodukcyjny,16464,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212402000,Powiat brzeski,2018,historyczny,wiek_poprodukcyjny,16933,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212402000,Powiat brzeski,2019,historyczny,wiek_poprodukcyjny,17358,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212402000,Powiat brzeski,2020,historyczny,wiek_poprodukcyjny,17719,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212402000,Powiat brzeski,2021,historyczny,wiek_poprodukcyjny,17938,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212402000,Powiat brzeski,2022,historyczny,wiek_poprodukcyjny,18311,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212402000,Powiat brzeski,2023,historyczny,wiek_poprodukcyjny,18715,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212402000,Powiat brzeski,2024,historyczny,wiek_poprodukcyjny,19091,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212404000,Powiat dąbrowski,2015,historyczny,wiek_poprodukcyjny,10256,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212404000,Powiat dąbrowski,2016,historyczny,wiek_poprodukcyjny,10417,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212404000,Powiat dąbrowski,2017,historyczny,wiek_poprodukcyjny,10669,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
011212404000,Powiat dąbrowski,2018,historyczny,wiek_poprodukcyjny,10907,72293,https://bdl.stat.gov.pl/BDL/metadane/podgrup-opis/2577,2026-05-10
