id,typ,city,name,status,old_website,new_website,action
198,GOPS,igolomia-wawrzenczyce,"Gminny Ośrodek Pomocy Społecznej w Igołomi-Wawrzeńczycach",NOT_FOUND,,,MANUAL
201,GOPS,skawina,"Miejsko-Gminny Ośrodek Pomocy Społecznej Skawina",NOT_FOUND,,,MANUAL
202,GOPS,wielka wies,"Gminny Ośrodek Pomocy Społecznej Wielka Wieś",NOT_FOUND,,,MANUAL
203,GOPS,kamienica,"Gminny Ośrodek Pomocy Społecznej Kamienica",NOT_FOUND,,,MANUAL
208,GOPS,kozlow,"GOPS Kozłów",NOT_FOUND,,,MANUAL
209,GOPS,slaboszow,"Gminny Ośrodek Pomocy Społecznej Słaboszów",NOT_FOUND,,,MANUAL
210,GOPS,dobczyce,"Miejsko-Gminny Ośrodek Pomocy Społecznej w Dobczycach",NOT_FOUND,,,MANUAL
212,GOPS,siepraw,"Gminny Ośrodek Pomocy Społecznej w Sieprawiu",NOT_FOUND,,,MANUAL
214,GOPS,wisniowa,"GOPS Wiśniowa",NOT_FOUND,,,MANUAL
216,GOPS,grodek nad dunajcem,"Gminny Ośrodek Pomocy Społecznej Gródek nad Dunajcem",NOT_FOUND,,,MANUAL
217,GOPS,lososina dolna,"Gminny Ośrodek Pomocy Społecznej Łososina Dolna",NOT_FOUND,,,MANUAL
220,GOPS,nowy targ,"Miejski Ośrodek Pomocy Społecznej w Nowym Targu",NOT_FOUND,,,MANUAL
221,GOPS,czarny dunajec,"Gminny Ośrodek Pomocy Społecznej w Czarnym Dunajcu",NOT_FOUND,,,MANUAL
223,GOPS,jablonka,"GOPS Jabłonka",NOT_FOUND,,,MANUAL
224,GOPS,gmina nowy targ,"Gminny Ośrodek Pomocy Społecznej Gmina Nowy Targ",NOT_FOUND,,,MANUAL
231,GOPS,koszyce,"Gminny Ośrodek Pomocy Społecznej Koszyce",NOT_FOUND,,,MANUAL
232,GOPS,nowe brzesko,"Miejsko-Gminny Ośrodek Pomocy Społecznej w Nowym Brzesku",NOT_FOUND,,,MANUAL
233,GOPS,budzow,"Gminny Ośrodek Pomocy Społecznej w Budzowie",NOT_FOUND,,,MANUAL
235,GOPS,makow podhalanski,"Miejski Ośrodek Pomocy Społecznej w Makowie Podhalańskim",NOT_FOUND,,,MANUAL
236,GOPS,stryszawa,"GOPS Stryszawa",NOT_FOUND,,,MANUAL
237,GOPS,gmina tarnow,"Gminny Ośrodek Pomocy Społecznej Tarnów",NOT_FOUND,,,MANUAL
238,GOPS,lisia gora,"Gminny Ośrodek Pomocy Społecznej Lisia Góra",NOT_FOUND,,,MANUAL
239,GOPS,plesna,"Gminny Ośrodek Pomocy Społecznej Pleśna",NOT_FOUND,,,MANUAL
240,GOPS,rzepiennik strzyzewski,"Gminny Ośrodek Pomocy Społecznej w Rzepienniku Strzyżewskim",NOT_FOUND,,,MANUAL
243,GOPS,lanckorona,"Gminny Ośrodek Pomocy Społecznej Lanckorona",NOT_FOUND,,,MANUAL
246,GOPS,wieliczka,"Miejsko-Gminny Ośrodek Pomocy Społecznej w Wieliczce",NOT_FOUND,,,MANUAL
248,GOPS,trabki,"Gminny Ośrodek Pomocy Społecznej Trąbki",NOT_FOUND,,,MANUAL
252,GOPS,mierzecice,"Ośrodek Pomocy Społecznej w Mierzęcicach",NOT_FOUND,,,MANUAL
254,GOPS,siewierz,"Ośrodek Pomocy Społecznej w Siewierzu",NOT_FOUND,,,MANUAL
255,MOPS,slawkow,"Miejski Ośrodek Pomocy Społecznej w Sławkowie",NOT_FOUND,,,MANUAL
256,MOPS,wojkowice,"Miejski Ośrodek Pomocy Społecznej w Wojkowicach",NOT_FOUND,,,MANUAL
258,GOPS,buczkowice,"Gminny Ośrodek Pomocy Społecznej w Buczkowicach",NOT_FOUND,,,MANUAL
259,GOPS,czechowice-dziedzice,"Ośrodek Pomocy Społecznej w Czechowicach-Dziedzicach",NOT_FOUND,,,MANUAL
261,GOPS,jaworze,"Gminny Ośrodek Pomocy Społecznej w Jaworzu",NOT_FOUND,,,MANUAL
264,MOPS,szczyrk,"Miejski Ośrodek Pomocy Społecznej w Szczyrku",NOT_FOUND,,,MANUAL
267,MOPS,bielsko-biala,"Miejski Ośrodek Pomocy Społecznej w Bielsku-Białej",NOT_FOUND,,,MANUAL
268,MOPS,bierun,"Miejski Ośrodek Pomocy Społecznej w Bieruniu",NOT_FOUND,,,MANUAL
269,CUS,swierczyniec,"Centrum Usług Społecznych w Bojszowach",NOT_FOUND,,,MANUAL
270,GOPS,chelm slaski,"Gminny Ośrodek Pomocy Społecznej w Chełmie Śląskim",NOT_FOUND,,,MANUAL
271,MOPS,imielin,"Miejski Ośrodek Pomocy Społecznej w Imielinie",NOT_FOUND,,,MANUAL
273,MOPS,bytom,"Miejski Ośrodek Pomocy Rodzinie w Bytomiu",NOT_FOUND,,,MANUAL
274,GOPS,chorzow,"Ośrodek Pomocy Społecznej w Chorzowie",NOT_FOUND,,,MANUAL
275,GOPS,brenna,"Gminny Ośrodek Pomocy Społecznej w Brennej",NOT_FOUND,,,MANUAL
281,GOPS,istebna,"Gminny Ośrodek Pomocy Społecznej w Istebnej",NOT_FOUND,,,MANUAL
287,MOPS,czestochowa,"Miejski Ośrodek Pomocy Społecznej w Częstochowie",NOT_FOUND,,,MANUAL
289,GOPS,dabrowa zielona,"Gminny Ośrodek Pomocy Społecznej w Dąbrowie Zielonej",NOT_FOUND,,,MANUAL
291,GOPS,kamienica polska,"Gminny Ośrodek Pomocy Społecznej w Kamienicy Polskiej",NOT_FOUND,,,MANUAL
292,GOPS,zdrowa,"Gminny Ośrodek Pomocy Społecznej w Kłomnicach",NOT_FOUND,,,MANUAL
293,GOPS,koniecpol,"Miejsko-Gminny Ośrodek Pomocy Społecznej w Koniecpolu",NOT_FOUND,,,MANUAL
294,GOPS,konopiska,"Gminny Ośrodek Pomocy Społecznej w Konopiskach",NOT_FOUND,,,MANUAL
296,GOPS,lelow,"Gminny Ośrodek Pomocy Społecznej w Lelowie",NOT_FOUND,,,MANUAL
299,GOPS,olsztyn,"Gminny Ośrodek Pomocy Społecznej w Olsztynie",NOT_FOUND,,,MANUAL
300,GOPS,poczesna,"Gminny Ośrodek Pomocy Społecznej w Poczesnej",NOT_FOUND,,,MANUAL
